CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 3.550781 1626410792.5567
MEM 33.710938 1626410792.6721
MEM 62.933594 1626410792.7864
MEM 88.636719 1626410792.9013
MEM 102.273438 1626410793.0157
MEM 112.042969 1626410793.1268
MEM 121.714844 1626410793.2416
MEM 130.730469 1626410793.3559
MEM 144.679688 1626410793.4702
MEM 152.113281 1626410793.5833
MEM 165.019531 1626410793.6972
MEM 169.843750 1626410793.8085
MEM 175.511719 1626410793.9222
MEM 196.046875 1626410794.0327
MEM 204.582031 1626410794.1460
MEM 207.851562 1626410794.2592
MEM 208.097656 1626410794.3734
MEM 214.441406 1626410794.4874
MEM 222.957031 1626410794.5999
MEM 226.437500 1626410794.7139
MEM 236.035156 1626410794.8270
MEM 247.410156 1626410794.9412
MEM 260.500000 1626410795.0555
MEM 260.777344 1626410795.1696
MEM 265.156250 1626410795.2872
MEM 272.480469 1626410795.4027
MEM 275.246094 1626410795.5179
MEM 278.218750 1626410795.6331
MEM 284.082031 1626410795.7474
MEM 284.082031 1626410795.8616
MEM 284.082031 1626410795.9760
MEM 284.082031 1626410796.0905
MEM 284.082031 1626410796.2122
MEM 284.082031 1626410796.3280
MEM 284.335938 1626410796.4427
MEM 284.335938 1626410796.5563
MEM 284.355469 1626410796.6706
MEM 284.355469 1626410796.7850
MEM 284.355469 1626410796.8975
MEM 284.355469 1626410797.0113
MEM 284.355469 1626410797.1248
MEM 284.355469 1626410797.2384
MEM 284.355469 1626410797.3517
MEM 284.488281 1626410797.4661
MEM 284.488281 1626410797.5794
MEM 284.488281 1626410797.6924
MEM 284.683594 1626410797.8059
MEM 284.710938 1626410797.9204
MEM 284.761719 1626410798.0336
MEM 284.828125 1626410798.1439
MEM 284.828125 1626410798.2592
MEM 284.828125 1626410798.3740
MEM 284.828125 1626410798.4888
MEM 285.132812 1626410798.6029
MEM 285.132812 1626410798.7176
MEM 285.132812 1626410798.8315
MEM 285.132812 1626410798.9446
MEM 285.378906 1626410799.0578
MEM 285.449219 1626410799.1714
MEM 285.449219 1626410799.2853
MEM 285.566406 1626410799.3990
MEM 285.660156 1626410799.5116
MEM 285.718750 1626410799.6248
MEM 285.718750 1626410799.7395
MEM 285.875000 1626410799.8537
MEM 285.992188 1626410799.9646
MEM 286.058594 1626410800.0785
MEM 286.117188 1626410800.1921
MEM 286.210938 1626410800.3057
MEM 286.210938 1626410800.4179
MEM 287.566406 1626410800.5285
MEM 287.566406 1626410800.6436
MEM 287.566406 1626410800.7574
MEM 287.566406 1626410800.8713
MEM 287.566406 1626410800.9841
