CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/pandas_test.py
MEM 3.750000 1626411363.1170
MEM 37.414062 1626411363.2331
MEM 63.695312 1626411363.3479
MEM 87.949219 1626411363.4638
MEM 89.695312 1626411363.5793
MEM 104.304688 1626411363.6972
MEM 115.414062 1626411363.8139
MEM 124.312500 1626411363.9284
MEM 131.046875 1626411364.0441
MEM 145.835938 1626411364.1598
MEM 155.882812 1626411364.2780
MEM 165.730469 1626411364.3919
MEM 170.281250 1626411364.5075
MEM 176.167969 1626411364.6209
MEM 200.675781 1626411364.7352
MEM 212.527344 1626411364.8498
MEM 221.101562 1626411364.9644
MEM 236.355469 1626411365.0802
MEM 236.355469 1626411365.1960
MEM 241.167969 1626411365.3106
MEM 247.316406 1626411365.4256
MEM 250.273438 1626411365.5410
MEM 254.199219 1626411365.6567
MEM 255.601562 1626411365.7714
MEM 255.605469 1626411365.8860
MEM 255.972656 1626411366.0007
MEM 254.976562 1626411366.1153
MEM 255.628906 1626411366.2298
MEM 256.261719 1626411366.3447
MEM 255.000000 1626411366.4577
MEM 255.015625 1626411366.5697
MEM 255.027344 1626411366.6849
MEM 255.039062 1626411366.7992
MEM 255.636719 1626411366.9104
MEM 255.652344 1626411367.0241
MEM 255.078125 1626411367.1353
MEM 255.093750 1626411367.2499
MEM 255.593750 1626411367.3635
MEM 256.839844 1626411367.4784
MEM 256.121094 1626411367.5921
MEM 256.132812 1626411367.7070
MEM 256.054688 1626411367.8215
MEM 256.074219 1626411367.9330
MEM 256.031250 1626411368.0475
MEM 256.003906 1626411368.1620
MEM 255.734375 1626411368.2765
MEM 255.246094 1626411368.3918
MEM 255.980469 1626411368.5055
MEM 255.292969 1626411368.6188
MEM 255.335938 1626411368.7335
MEM 256.097656 1626411368.8473
MEM 256.140625 1626411368.9617
MEM 256.925781 1626411369.0770
MEM 257.710938 1626411369.2025
MEM 256.816406 1626411369.3229
MEM 255.582031 1626411369.4397
MEM 256.343750 1626411369.5541
MEM 256.382812 1626411369.6674
MEM 256.417969 1626411369.7817
MEM 256.441406 1626411369.8961
MEM 255.757812 1626411370.0073
MEM 256.507812 1626411370.1219
MEM 255.812500 1626411370.2377
MEM 256.574219 1626411370.3517
MEM 256.609375 1626411370.4661
MEM 255.925781 1626411370.5799
MEM 256.683594 1626411370.6948
MEM 256.722656 1626411370.8071
MEM 258.253906 1626411370.9220
MEM 256.078125 1626411371.0364
MEM 256.832031 1626411371.1496
MEM 256.871094 1626411371.2647
MEM 256.914062 1626411371.3794
MEM 258.445312 1626411371.4936
MEM 256.261719 1626411371.6074
MEM 256.300781 1626411371.7221
MEM 257.058594 1626411371.8365
MEM 256.371094 1626411371.9494
MEM 257.128906 1626411372.0616
MEM 257.171875 1626411372.1757
MEM 257.203125 1626411372.2899
MEM 257.222656 1626411372.4035
MEM 256.535156 1626411372.5193
MEM 256.574219 1626411372.6351
MEM 257.332031 1626411372.7500
MEM 257.371094 1626411372.8645
MEM 257.410156 1626411372.9788
MEM 256.726562 1626411373.0904
MEM 257.480469 1626411373.2058
MEM 257.519531 1626411373.3197
MEM 257.546875 1626411373.4308
MEM 257.582031 1626411373.5445
MEM 257.617188 1626411373.6590
MEM 257.660156 1626411373.7751
MEM 257.695312 1626411373.8901
MEM 257.011719 1626411374.0034
MEM 257.769531 1626411374.1177
MEM 257.804688 1626411374.2323
MEM 257.113281 1626411374.3466
MEM 257.152344 1626411374.4613
MEM 257.914062 1626411374.5753
MEM 257.214844 1626411374.6900
MEM 257.976562 1626411374.8050
MEM 259.500000 1626411374.9199
MEM 257.320312 1626411375.0342
MEM 257.355469 1626411375.1487
MEM 258.109375 1626411375.2621
MEM 258.148438 1626411375.3765
MEM 259.179688 1626411375.4906
MEM 257.503906 1626411375.6038
MEM 259.511719 1626411375.7182
MEM 257.578125 1626411375.8325
MEM 258.312500 1626411375.9471
MEM 259.539062 1626411376.0628
MEM 259.554688 1626411376.1779
MEM 259.554688 1626411376.2925
MEM 259.539062 1626411376.4075
MEM 259.792969 1626411376.5223
MEM 259.539062 1626411376.6331
MEM 259.554688 1626411376.7469
MEM 259.554688 1626411376.8613
MEM 259.539062 1626411376.9761
MEM 260.546875 1626411377.0902
MEM 259.554688 1626411377.2047
MEM 260.050781 1626411377.3191
MEM 259.554688 1626411377.4333
MEM 260.050781 1626411377.5441
MEM 259.554688 1626411377.6583
MEM 259.554688 1626411377.7716
MEM 259.554688 1626411377.8831
MEM 259.554688 1626411377.9951
MEM 259.539062 1626411378.1100
MEM 259.554688 1626411378.2250
MEM 259.539062 1626411378.3395
MEM 259.554688 1626411378.4539
MEM 261.050781 1626411378.5669
MEM 259.554688 1626411378.6797
MEM 259.539062 1626411378.7942
MEM 261.050781 1626411378.9092
MEM 259.554688 1626411379.0226
MEM 259.554688 1626411379.1369
MEM 259.554688 1626411379.2478
MEM 259.554688 1626411379.3589
MEM 260.804688 1626411379.4743
MEM 259.554688 1626411379.5885
MEM 259.554688 1626411379.7006
MEM 259.554688 1626411379.8151
MEM 259.554688 1626411379.9300
MEM 259.554688 1626411380.0444
MEM 259.539062 1626411380.1589
MEM 260.804688 1626411380.2735
MEM 259.554688 1626411380.3874
MEM 259.554688 1626411380.4992
MEM 259.554688 1626411380.6138
MEM 259.554688 1626411380.7263
MEM 259.539062 1626411380.8410
MEM 261.050781 1626411380.9583
MEM 260.046875 1626411381.0793
MEM 259.539062 1626411381.1984
MEM 261.050781 1626411381.3138
MEM 259.539062 1626411381.4316
MEM 259.554688 1626411381.5472
MEM 259.554688 1626411381.6635
MEM 259.554688 1626411381.7795
MEM 259.554688 1626411381.8960
